Area Name,Total/Rural/Urban,Total Population,Male Population,Female Population,Total population attending educational institution,Male population attending educational institution,Female population attending educational institution,Total literates,Male literates,Female literates
District - Mahe  03,Urban,36828,17153,19675,9222,4693,4529,8402,4262,4140
District - Karaikal  04,Total,170791,84487,86304,43230,23019,20211,35779,19179,16600
District - Karaikal  04,Rural,96353,47650,48703,23845,12646,11199,19973,10654,9319
District - Karaikal  04,Urban,74438,36837,37601,19385,10373,9012,15806,8525,7281
State - RAJASTHAN  08,Total,56507188,29420011,27087177,13357777,8100791,5256986,11512735,7126165,4386570
State - RAJASTHAN  08,Rural,43292813,22426640,20866173,9752720,6047938,3704782,8348410,5307425,3040985
State - RAJASTHAN  08,Urban,13214375,6993371,6221004,3605057,2052853,1552204,3164325,1818740,1345585
District - Ganganagar  01,Total,1789423,955378,834045,434404,248724,185680,364513,211459,153054
District - Ganganagar  01,Rural,1336066,709710,626356,309598,179375,130223,256879,151567,105312
District - Ganganagar  01,Urban,453357,245668,207689,124806,69349,55457,107634,59892,47742
District - Hanumangarh *  02,Total,1518005,801486,716519,378375,217775,160600,337289,197065,140224
District - Hanumangarh *  02,Rural,1214467,639921,574546,295444,171048,124396,263336,155202,108134
District - Hanumangarh *  02,Urban,303538,161565,141973,82931,46727,36204,73953,41863,32090
District - Bikaner  03,Total,1674271,886075,788196,351747,215457,136290,295236,184547,110689
District - Bikaner  03,Rural,1079235,568904,510331,195625,126141,69484,158761,105564,53197
District - Bikaner  03,Urban,595036,317171,277865,156122,89316,66806,136475,78983,57492
District - Churu  04,Total,1923878,987781,936097,524341,297405,226936,463096,265885,197211
District - Churu  04,Rural,1387682,710681,677001,385394,217244,168150,340094,194146,145948
District - Churu  04,Urban,536196,277100,259096,138947,80161,58786,123002,71739,51263
District - Jhunjhunun  05,Total,1913689,983526,930163,585819,336137,249682,524241,303521,220720
District - Jhunjhunun  05,Rural,1518573,775776,742797,468037,266860,201177,418097,240445,177652
District - Jhunjhunun  05,Urban,395116,207750,187366,117782,69277,48505,106144,63076,43068
District - Alwar  06,Total,2992592,1586752,1405840,747977,468997,278980,659342,420174,239168
District - Alwar  06,Rural,2557653,1349768,1207885,620767,396842,223925,547386,356334,191052
District - Alwar  06,Urban,434939,236984,197955,127210,72155,55055,111956,63840,48116
District - Bharatpur  07,Total,2101142,1133425,967717,522056,330945,191111,462878,299066,163812
District - Bharatpur  07,Rural,1692182,914034,778148,408609,265010,143599,361392,239633,121759
District - Bharatpur  07,Urban,408960,219391,189569,113447,65935,47512,101486,59433,42053
District - Dhaulpur  08,Total,983258,538103,445155,241297,149402,91895,201334,129199,72135
District - Dhaulpur  08,Rural,806640,443006,363634,196008,122987,73021,162068,106120,55948
District - Dhaulpur  08,Urban,176618,95097,81521,45289,26415,18874,39266,23079,16187
District - Karauli *  09,Total,1209665,651998,557667,309088,199217,109871,275067,181000,94067
District - Karauli *  09,Rural,1037720,560375,477345,265344,172615,92729,236659,157349,79310
District - Karauli *  09,Urban,171945,91623,80322,43744,26602,17142,38408,23651,14757
District - Sawai Madhopur  10,Total,1117057,591307,525750,252819,169503,83316,220979,151649,69330
District - Sawai Madhopur  10,Rural,904417,478716,425701,195619,135999,59620,170450,121677,48773
District - Sawai Madhopur  10,Urban,212640,112591,100049,57200,33504,23696,50529,29972,20557
District - Dausa *  11,Total,1317063,693438,623625,348916,221972,126944,310852,201573,109279
District - Dausa *  11,Rural,1181245,621591,559654,308149,198135,110014,274686,180217,94469
District - Dausa *  11,Urban,135818,71847,63971,40767,23837,16930,36166,21356,14810
District - Jaipur  12,Total,5251071,2768203,2482868,1448496,845045,603451,1263608,749728,513880
District - Jaipur  12,Rural,2659004,1389167,1269837,729645,439120,290525,636930,392414,244516
District - Jaipur  12,Urban,2592067,1379036,1213031,718851,405925,312926,626678,357314,269364
District - Sikar  13,Total,2287788,1172753,1115035,652572,386899,265673,579200,348377,230823
District - Sikar  13,Rural,1815250,927195,888055,522684,311966,210718,466341,282308,184033
District - Sikar  13,Urban,472538,245558,226980,129888,74933,54955,112859,66069,46790
District - Nagaur  14,Total,2775058,1424967,1350091,633604,399203,234401,538496,347458,191038
District - Nagaur  14,Rural,2297721,1175976,1121745,510572,326173,184399,431486,282962,148524
District - Nagaur  14,Urban,477337,248991,228346,123032,73030,50002,107010,64496,42514
District - Jodhpur  15,Total,2886505,1513890,1372615,613230,389885,223345,517317,336958,180359
District - Jodhpur  15,Rural,1909423,994172,915251,350365,239367,110998,291561,205981,85580
District - Jodhpur  15,Urban,977082,519718,457364,262865,150518,112347,225756,130977,94779
District - Jaisalmer  16,Total,508247,279101,229146,99595,62779,36816,80957,52742,28215
District - Jaisalmer  16,Rural,431853,236309,195544,80432,50850,29582,64581,42365,22216
District - Jaisalmer  16,Urban,76394,42792,33602,19163,11929,7234,16376,10377,5999
District - Barmer  17,Total,1964835,1038247,926588,447015,262819,184196,386673,231446,155227
District - Barmer  17,Rural,1819431,959844,859587,407914,239365,168549,353075,210907,142168
District - Barmer  17,Urban,145404,78403,67001,39101,23454,15647,33598,20539,13059
District - Jalor  18,Total,1448940,737880,711060,275854,182359,93495,237971,161024,76947
District - Jalor  18,Rural,1338946,679637,659309,248710,165557,83153,213974,145917,68057
District - Jalor  18,Urban,109994,58243,51751,27144,16802,10342,23997,15107,8890
District - Sirohi  19,Total,851107,437949,413158,188836,117340,71496,157785,100989,56796
District - Sirohi  19,Rural,700217,357178,343039,149505,94339,55166,123818,80964,42854
District - Sirohi  19,Urban,150890,80771,70119,39331,23001,16330,33967,20025,13942
District - Pali  20,Total,1820251,918856,901395,401224,254373,146851,336292,218554,117738
District - Pali  20,Rural,1429364,714698,714666,299874,194702,105172,249652,166783,82869
District - Pali  20,Urban,390887,204158,186729,101350,59671,41679,86640,51771,34869
District - Ajmer  21,Total,2181670,1129920,1051750,478870,289673,189197,422387,258970,163417
District - Ajmer  21,Rural,1306994,669903,637091,249610,163087,86523,214098,143240,70858
District - Ajmer  21,Urban,874676,460017,414659,229260,126586,102674,208289,115730,92559
District - Tonk  22,Total,1211671,626436,585235,249827,164120,85707,215348,144352,70996
District - Tonk  22,Rural,958503,496092,462411,185138,128378,56760,158290,112693,45597
District - Tonk  22,Urban,253168,130344,122824,64689,35742,28947,57058,31659,25399
District - Bundi  23,Total,962620,504818,457802,233784,140030,93754,187082,117981,69101
District - Bundi  23,Rural,783058,410483,372575,183890,111658,72232,143875,93120,50755
District - Bundi  23,Urban,179562,94335,85227,49894,28372,21522,43207,24861,18346
District - Bhilwara  24,Total,2013789,1026650,987139,365096,229869,135227,310796,199272,111524
District - Bhilwara  24,Rural,1598938,807979,790959,262489,171984,90505,220450,147959,72491
District - Bhilwara  24,Urban,414851,218671,196180,102607,57885,44722,90346,51313,39033
District - Rajsamand *  25,Total,987024,493459,493565,209155,125615,83540,175489,107686,67803
District - Rajsamand *  25,Rural,858301,426630,431671,172424,105293,67131,143769,90013,53756
District - Rajsamand *  25,Urban,128723,66829,61894,36731,20322,16409,31720,17673,14047
District - Udaipur  26,Total,2633312,1336004,1297308,589363,340287,249076,498677,294809,203868
District - Udaipur  26,Rural,2142995,1078441,1064554,441650,258663,182987,368174,222305,145869
District - Udaipur  26,Urban,490317,257563,232754,147713,81624,66089,130503,72504,57999
District - Dungarpur  27,Total,1107643,547791,559852,206657,124078,82579,167266,102728,64538
District - Dungarpur  27,Rural,1026787,505664,521123,188006,113536,74470,150888,93440,57448
District - Dungarpur  27,Urban,80856,42127,38729,18651,10542,8109,16378,9288,7090
District - Banswara  28,Total,1501589,760686,740903,261661,165061,96600,219135,141577,77558
District - Banswara  28,Rural,1394226,705110,689116,231362,148438,82924,192204,126744,65460
District - Banswara  28,Urban,107363,55576,51787,30299,16623,13676,26931,14833,12098
District - Chittaurgarh  29,Total,1803524,918063,885461,341418,209195,132223,290376,181587,108789
District - Chittaurgarh  29,Rural,1514255,767555,746700,264281,166685,97596,221290,143269,78021
District - Chittaurgarh  29,Urban,289269,150508,138761,77137,42510,34627,69086,38318,30768
District - Kota  30,Total,1568525,827128,741397,447867,250977,196890,387694,221783,165911
District - Kota  30,Rural,729948,382495,347453,200456,112424,88032,168999,98295,70704
District - Kota  30,Urban,838577,444633,393944,247411,138553,108858,218695,123488,95207
District - Baran *  31,Total,1021653,535137,486516,235797,144874,90923,204599,128031,76568
District - Baran *  31,Rural,849638,445205,404433,189405,118626,70779,164243,105016,59227
District - Baran *  31,Urban,172015,89932,82083,46392,26248,20144,40356,23015,17341
District - Jhalawar  32,Total,1180323,612804,567519,281017,160776,120241,220760,134975,85785
District - Jhalawar  32,Rural,1012081,524425,487656,235714,135471,100243,180904,112476,68428
District - Jhalawar  32,Urban,168242,88379,79863,45303,25305,19998,39856,22499,17357
State - UTTAR PRADESH  09,Total,166197921,87565369,78632552,37171705,22146626,15025079,32853782,19867218,12986564
State - UTTAR PRADESH  09,Rural,131658339,69157470,62500869,28017938,17069571,10948367,24736744,15332492,9404252
State - UTTAR PRADESH  09,Urban,34539582,18407899,16131683,9153767,5077055,4076712,8117038,4534726,3582312
District - Saharanpur  01,Total,2896863,1553322,1343541,704990,410067,294923,619060,364350,254710
District - Saharanpur  01,Rural,2149291,1153352,995939,510928,303318,207610,449509,270668,178841
District - Saharanpur  01,Urban,747572,399970,347602,194062,106749,87313,169551,93682,75869
District - Muzaffarnagar  02,Total,3543362,1893832,1649530,828263,488786,339477,732217,437388,294829
District - Muzaffarnagar  02,Rural,2639480,1414221,1225259,602625,362311,240314,534828,326138,208690
District - Muzaffarnagar  02,Urban,903882,479611,424271,225638,126475,99163,197389,111250,86139
District - Bijnor  03,Total,3131619,1651908,1479711,730914,419676,311238,646518,375631,270887
District - Bijnor  03,Rural,2370268,1251936,1118332,551169,323569,227600,486487,289702,196785
District - Bijnor  03,Urban,761351,399972,361379,179745,96107,83638,160031,85929,74102
District - Moradabad  04,Total,3810983,2032302,1778681,692110,423784,268326,607896,377611,230285
District - Moradabad  04,Rural,2647292,1415425,1231867,438166,285328,152838,383735,254826,128909
District - Moradabad  04,Urban,1163691,616877,546814,253944,138456,115488,224161,122785,101376
District - Rampur  05,Total,1923739,1023775,899964,316769,195567,121202,267865,168389,99476
District - Rampur  05,Rural,1443286,771204,672082,218298,142220,76078,180860,121072,59788
District - Rampur  05,Urban,480453,252571,227882,98471,53347,45124,87005,47317,39688
District - Jyotiba Phule Nagar *  06,Total,1499068,795228,703840,306521,188311,118210,272553,169827,102726
District - Jyotiba Phule Nagar *  06,Rural,1130881,601379,529502,226936,144113,82823,202520,130679,71841
District - Jyotiba Phule Nagar *  06,Urban,368187,193849,174338,79585,44198,35387,70033,39148,30885
District - Meerut  07,Total,2997361,1601578,1395783,771488,441342,330146,681626,393093,288533
District - Meerut  07,Rural,1545378,826908,718470,391385,230812,160573,352691,210183,142508
District - Meerut  07,Urban,1451983,774670,677313,380103,210530,169573,328935,182910,146025
District - Baghpat *  08,Total,1163991,630077,533914,298763,178825,119938,269582,162819,106763
District - Baghpat *  08,Rural,934559,507166,427393,237817,143733,94084,215805,131719,84086
District - Baghpat *  08,Urban,229432,122911,106521,60946,35092,25854,53777,31100,22677
District - Ghaziabad  09,Total,3290586,1769042,1521544,887823,508699,379124,784808,453464,331344
District - Ghaziabad  09,Rural,1474171,793186,680985,374966,221495,153471,330901,197727,133174
District - Ghaziabad  09,Urban,1816415,975856,840559,512857,287204,225653,453907,255737,198170
District - Gautam Buddha Nagar *  10,Total,1202030,652819,549211,305519,181105,124414,274336,164660,109676
District - Gautam Buddha Nagar *  10,Rural,752615,406131,346484,195787,118552,77235,177100,108718,68382
District - Gautam Buddha Nagar *  10,Urban,449415,246688,202727,109732,62553,47179,97236,55942,41294
District - Bulandshahr  11,Total,2913122,1550326,1362796,670262,407677,262585,595919,367631,228288
District - Bulandshahr  11,Rural,2238664,1192952,1045712,511166,317678,193488,455659,287716,167943
District - Bulandshahr  11,Urban,674458,357374,317084,159096,89999,69097,140260,79915,60345
District - Aligarh  12,Total,2992286,1607402,1384884,693088,422410,270678,619321,382737,236584
District - Aligarh  12,Rural,2127592,1146456,981136,483210,303380,179830,432091,275693,156398
District - Aligarh  12,Urban,864694,460946,403748,209878,119030,90848,187230,107044,80186
District - Hathras *  13,Total,1336031,718930,617101,331503,198924,132579,290279,177224,113055
District - Hathras *  13,Rural,1071551,578159,493392,266255,162338,103917,233757,145277,88480
District - Hathras *  13,Urban,264480,140771,123709,65248,36586,28662,56522,31947,24575
District - Mathura  14,Total,2074516,1127512,947004,496992,309909,187083,437893,277758,160135
District - Mathura  14,Rural,1487493,809946,677547,345616,223382,122234,304997,201169,103828
District - Mathura  14,Urban,587023,317566,269457,151376,86527,64849,132896,76589,56307
District - Agra  15,Total,3620436,1961282,1659154,914907,551475,363432,800243,489829,310414
District - Agra  15,Rural,2052727,1114110,938617,473017,300138,172879,413288,267482,145806
District - Agra  15,Urban,1567709,847172,720537,441890,251337,190553,386955,222347,164608
District - Firozabad  16,Total,2052958,1108668,944290,525013,312327,212686,460413,278037,182376
District - Firozabad  16,Rural,1430405,777113,653292,365186,222896,142290,321790,199805,121985
District - Firozabad  16,Urban,622553,331555,290998,159827,89431,70396,138623,78232,60391
District - Etah  17,Total,2790410,1509199,1281211,607253,374882,232371,526466,331586,194880
District - Etah  17,Rural,2306747,1252724,1054023,488166,307986,180180,422764,272840,149924
District - Etah  17,Urban,483663,256475,227188,119087,66896,52191,103702,58746,44956
District - Mainpuri  18,Total,1596718,859934,736784,406443,241674,164769,359357,217020,142337
District - Mainpuri  18,Rural,1363625,736658,626967,339741,204791,134950,300612,184309,116303
District - Mainpuri  18,Urban,233093,123276,109817,66702,36883,29819,58745,32711,26034
District - Budaun  19,Total,3069426,1666669,1402757,492351,318351,174000,422370,278237,144133
District - Budaun  19,Rural,2512290,1371980,1140310,375458,252468,122990,320865,220703,100162
District - Budaun  19,Urban,557136,294689,262447,116893,65883,51010,101505,57534,43971
District - Bareilly  20,Total,3618589,1934119,1684470,714766,434411,280355,611104,378470,232634
District - Bareilly  20,Rural,2427139,1303590,1123549,451203,288473,162730,379569,249428,130141
District - Bareilly  20,Urban,1191450,630529,560921,263563,145938,117625,231535,129042,102493
District - Pilibhit  21,Total,1645183,876368,768815,327919,201021,126898,288161,179954,108207
District - Pilibhit  21,Rural,1350959,720322,630637,259640,162677,96963,227031,145401,81630
District - Pilibhit  21,Urban,294224,156046,138178,68279,38344,29935,61130,34553,26577
District - Shahjahanpur  22,Total,2547855,1383408,1164447,484471,294908,189563,425530,263712,161818
District - Shahjahanpur  22,Rural,2022329,1101426,920903,370765,232426,138339,324577,207912,116665
District - Shahjahanpur  22,Urban,525526,281982,243544,113706,62482,51224,100953,55800,45153
District - Kheri  23,Total,3207232,1713908,1493324,596385,361919,234466,508880,315736,193144
District - Kheri  23,Rural,2861695,1529604,1332091,508936,313611,195325,431213,272623,158590
District - Kheri  23,Urban,345537,184304,161233,87449,48308,39141,77667,43113,34554
District - Sitapur  24,Total,3619661,1941374,1678287,676161,408305,267856,589601,363533,226068
District - Sitapur  24,Rural,3186973,1714279,1472694,567403,349487,217916,492755,310819,181936
District - Sitapur  24,Urban,432688,227095,205593,108758,58818,49940,96846,52714,44132
District - Hardoi  25,Total,3398306,1842698,1555608,646459,399617,246842,578286,363197,215089
District - Hardoi  25,Rural,2990993,1626218,1364775,550732,346061,204671,491910,314550,177360
District - Hardoi  25,Urban,407313,216480,190833,95727,53556,42171,86376,48647,37729
District - Unnao  26,Total,2700324,1422509,1277815,570982,328610,242372,497088,290197,206891
District - Unnao  26,Rural,2288781,1205652,1083129,466306,272333,193973,403468,239624,163844
District - Unnao  26,Urban,411543,216857,194686,104676,56277,48399,93620,50573,43047
District - Lucknow  27,Total,3647834,1932317,1715517,949867,525417,424450,836953,467312,369641
District - Lucknow  27,Rural,1326873,703044,623829,287699,167968,119731,254868,151056,103812
District - Lucknow  27,Urban,2320961,1229273,1091688,662168,357449,304719,582085,316256,265829
District - Rae Bareli  28,Total,2872335,1472230,1400105,618115,360782,257333,543788,322204,221584
District - Rae Bareli  28,Rural,2598337,1329090,1269247,536557,316814,219743,470506,282440,188066
District - Rae Bareli  28,Urban,273998,143140,130858,81558,43968,37590,73282,39764,33518
District - Farrukhabad  29,Total,1570408,849800,720608,357284,211586,145698,317799,190666,127133
District - Farrukhabad  29,Rural,1228864,667586,561278,268413,162310,106103,238579,146522,92057
District - Farrukhabad  29,Urban,341544,182214,159330,88871,49276,39595,79220,44144,35076
District - Kannauj *  30,Total,1388923,744170,644753,321990,189532,132458,288796,172187,116609
District - Kannauj *  30,Rural,1156951,621751,535200,265955,158267,107688,237738,143511,94227
District - Kannauj *  30,Urban,231972,122419,109553,56035,31265,24770,51058,28676,22382
District - Etawah  31,Total,1338871,720749,618122,358562,207438,151124,319872,187026,132846
District - Etawah  31,Rural,1030789,557439,473350,267625,157574,110051,239404,142693,96711
District - Etawah  31,Urban,308082,163310,144772,90937,49864,41073,80468,44333,36135
District - Auraiya *  32,Total,1179993,635762,544231,308759,176681,132078,279147,161118,118029
District - Auraiya *  32,Rural,1011026,546142,464884,258393,149252,109141,233479,136129,97350
District - Auraiya *  32,Urban,168967,89620,79347,50366,27429,22937,45668,24989,20679
District - Kanpur Dehat  33,Total,1563336,844339,718997,380394,217935,162459,341822,197921,143901
District - Kanpur Dehat  33,Rural,1455569,786624,668945,352673,202560,150113,316634,183910,132724
District - Kanpur Dehat  33,Urban,107767,57715,50052,27721,15375,12346,25188,14011,11177
District - Kanpur Nagar  34,Total,4167999,2247216,1920783,1094105,597938,496167,967951,532022,435929
District - Kanpur Nagar  34,Rural,1370488,738072,632416,316328,179952,136376,280850,161549,119301
District - Kanpur Nagar  34,Urban,2797511,1509144,1288367,777777,417986,359791,687101,370473,316628
District - Jalaun  35,Total,1454452,786641,667811,352123,208657,143466,313518,188401,125117
District - Jalaun  35,Rural,1113926,604295,509631,257384,155273,102111,228836,140241,88595
District - Jalaun  35,Urban,340526,182346,158180,94739,53384,41355,84682,48160,36522
District - Jhansi  36,Total,1744931,932818,812113,414984,243218,171766,368274,218713,149561
District - Jhansi  36,Rural,1033171,552379,480792,211287,130368,80919,189024,118595,70429
District - Jhansi  36,Urban,711760,380439,331321,203697,112850,90847,179250,100118,79132
District - Lalitpur  37,Total,977734,519413,458321,187080,116322,70758,166121,105039,61082
District - Lalitpur  37,Rural,835790,444665,391125,146778,94000,52778,130357,85046,45311
District - Lalitpur  37,Urban,141944,74748,67196,40302,22322,17980,35764,19993,15771
District - Hamirpur  38,Total,1043724,563801,479923,227065,138579,88486,205978,127421,78557
District - Hamirpur  38,Rural,869916,470298,399618,178965,110959,68006,162217,102059,60158
District - Hamirpur  38,Urban,173808,93503,80305,48100,27620,20480,43761,25362,18399
District - Mahoba *  39,Total,708447,379691,328756,141481,86665,54816,124434,77672,46762
District - Mahoba *  39,Rural,553552,297213,256339,101345,64034,37311,89250,57661,31589
District - Mahoba *  39,Urban,154895,82478,72417,40136,22631,17505,35184,20011,15173
District - Banda  40,Total,1537334,826544,710790,308458,192795,115663,277202,176143,101059
District - Banda  40,Rural,1293316,694989,598327,241114,154308,86806,216573,141075,75498
District - Banda  40,Urban,244018,131555,112463,67344,38487,28857,60629,35068,25561
District - Chitrakoot *  41,Total,766225,409178,357047,199980,116924,83056,180418,107386,73032
District - Chitrakoot *  41,Rural,689665,368300,321365,178834,105012,73822,161160,96425,64735
District - Chitrakoot *  41,Urban,76560,40878,35682,21146,11912,9234,19258,10961,8297
District - Fatehpur  42,Total,2308384,1219602,1088782,506685,297527,209158,449334,267666,181668
District - Fatehpur  42,Rural,2070634,1094343,976291,442973,262976,179997,392221,236486,155735
District - Fatehpur  42,Urban,237750,125259,112491,63712,34551,29161,57113,31180,25933
District - Pratapgarh  43,Total,2731174,1362948,1368226,684582,401151,283431,606211,361556,244655
District - Pratapgarh  43,Rural,2586619,1287741,1298878,641565,377684,263881,567568,340377,227191
District - Pratapgarh  43,Urban,144555,75207,69348,43017,23467,19550,38643,21179,17464
District - Kaushambi *  44,Total,1293154,682290,610864,255732,161668,94064,223266,144082,79184
District - Kaushambi *  44,Rural,1201369,634037,567332,233888,149238,84650,203519,132727,70792
District - Kaushambi *  44,Urban,91785,48253,43532,21844,12430,9414,19747,11355,8392
District - Allahabad  45,Total,4936105,2626448,2309657,1279234,779140,500094,1132604,702562,430042
District - Allahabad  45,Rural,3729320,1962425,1766895,882814,548186,334628,772199,489778,282421
District - Allahabad  45,Urban,1206785,664023,542762,396420,230954,165466,360405,212784,147621
District - Barabanki  46,Total,2673581,1416921,1256660,487405,291676,195729,419636,256334,163302
District - Barabanki  46,Rural,2424836,1285928,1138908,429474,260054,169420,369566,228663,140903
District - Barabanki  46,Urban,248745,130993,117752,57931,31622,26309,50070,27671,22399
District - Faizabad  47,Total,2088928,1077472,1011456,486584,283655,202929,427061,252813,174248
District - Faizabad  47,Rural,1807655,925443,882212,406871,239959,166912,355484,213269,142215
District - Faizabad  47,Urban,281273,152029,129244,79713,43696,36017,71577,39544,32033
District - Ambedkar Nagar *  48,Total,2026876,1024953,1001923,508706,283498,225208,455132,256986,198146
District - Ambedkar Nagar *  48,Rural,1845783,930846,914937,458232,257086,201146,409193,232862,176331
District - Ambedkar Nagar *  48,Urban,181093,94107,86986,50474,26412,24062,45939,24124,21815
District - Sultanpur  49,Total,3214832,1623819,1591013,747801,438827,308974,659158,393527,265631
District - Sultanpur  49,Rural,3062574,1543351,1519223,700249,412528,287721,615941,369518,246423
District - Sultanpur  49,Urban,152258,80468,71790,47552,26299,21253,43217,24009,19208
District - Bahraich  50,Total,2381072,1275351,1105721,314180,200286,113894,267959,174720,93239
District - Bahraich  50,Rural,2143074,1149080,993994,253011,167281,85730,213719,145208,68511
District - Bahraich  50,Urban,237998,126271,111727,61169,33005,28164,54240,29512,24728
District - Shrawasti *  51,Total,1176391,631916,544475,144848,98825,46023,121583,85307,36276
District - Shrawasti *  51,Rural,1143035,614396,528639,137994,94980,43014,115528,81839,33689
District - Shrawasti *  51,Urban,33356,17520,15836,6854,3845,3009,6055,3468,2587
District - Balrampur *  52,Total,1682350,887939,794411,214384,140758,73626,185320,124424,60896
District - Balrampur *  52,Rural,1546770,816561,730209,182915,123392,59523,157324,108815,48509
District - Balrampur *  52,Urban,135580,71378,64202,31469,17366,14103,27996,15609,12387
District - Gonda  53,Total,2765586,1451101,1314485,444473,288412,156061,386112,256241,129871
District - Gonda  53,Rural,2571267,1346004,1225263,386420,254736,131684,333154,225251,107903
District - Gonda  53,Urban,194319,105097,89222,58053,33676,24377,52958,30990,21968
District - Siddharthnagar  54,Total,2040085,1047165,992920,341042,216986,124056,292822,190638,102184
District - Siddharthnagar  54,Rural,1962284,1006401,955883,320067,205431,114636,274350,180365,93985
District - Siddharthnagar  54,Urban,77801,40764,37037,20975,11555,9420,18472,10273,8199
District - Basti  55,Total,2084814,1075765,1009049,452551,272467,180084,396830,243447,153383
District - Basti  55,Rural,1968829,1014325,954504,416718,252690,164028,364262,225317,138945
District - Basti  55,Urban,115985,61440,54545,35833,19777,16056,32568,18130,14438
District - Sant Kabir Nagar *  56,Total,1420226,719465,700761,289394,177152,112242,258058,160640,97418
District - Sant Kabir Nagar *  56,Rural,1319675,666747,652928,264343,162787,101556,235263,147473,87790
District - Sant Kabir Nagar *  56,Urban,100551,52718,47833,25051,14365,10686,22795,13167,9628
District - Maharajganj  57,Total,2173878,1124290,1049588,390708,248586,142122,334465,218400,116065
District - Maharajganj  57,Rural,2063278,1066457,996821,361231,232230,129001,308026,203600,104426
District - Maharajganj  57,Urban,110600,57833,52767,29477,16356,13121,26439,14800,11639
District - Gorakhpur  58,Total,3769456,1923197,1846259,911300,535884,375416,820470,488556,331914
District - Gorakhpur  58,Rural,3030865,1532750,1498115,685097,411589,273508,616748,375798,240950
District - Gorakhpur  58,Urban,738591,390447,348144,226203,124295,101908,203722,112758,90964
District - Kushinagar *  59,Total,2893196,1473637,1419559,568115,352096,216019,493909,311973,181936
District - Kushinagar *  59,Rural,2760673,1403987,1356686,532128,332095,200033,461560,293851,167709
District - Kushinagar *  59,Urban,132523,69650,62873,35987,20001,15986,32349,18122,14227
District - Deoria  60,Total,2712650,1355023,1357627,702205,408097,294108,612028,361699,250329
District - Deoria  60,Rural,2444345,1215257,1229088,623823,364685,259138,541603,322416,219187
District - Deoria  60,Urban,268305,139766,128539,78382,43412,34970,70425,39283,31142
District - Azamgarh  61,Total,3939916,1950415,1989501,974286,557859,416427,869963,505526,364437
District - Azamgarh  61,Rural,3642615,1796544,1846071,891393,513112,378281,796212,465327,330885
District - Azamgarh  61,Urban,297301,153871,143430,82893,44747,38146,73751,40199,33552
District - Mau  62,Total,1853997,933523,920474,512815,288125,224690,451434,257154,194280
District - Mau  62,Rural,1493628,747576,746052,415432,233815,181617,367392,209598,157794
District - Mau  62,Urban,360369,185947,174422,97383,54310,43073,84042,47556,36486
District - Ballia  63,Total,2761620,1413774,1347846,671973,400184,271789,601662,363467,238195
District - Ballia  63,Rural,2491676,1272108,1219568,600934,360180,240754,537840,327123,210717
District - Ballia  63,Urban,269944,141666,128278,71039,40004,31035,63822,36344,27478
District - Jaunpur  64,Total,3911679,1941903,1969776,983730,582057,401673,899192,538913,360279
District - Jaunpur  64,Rural,3622268,1790619,1831649,901793,537387,364406,824493,497905,326588
District - Jaunpur  64,Urban,289411,151284,138127,81937,44670,37267,74699,41008,33691
District - Ghazipur  65,Total,3037582,1537141,1500441,786321,464362,321959,713959,426826,287133
District - Ghazipur  65,Rural,2804212,1414994,1389218,718466,426501,291965,651773,391863,259910
District - Ghazipur  65,Urban,233370,122147,111223,67855,37861,29994,62186,34963,27223
District - Chandauli *  66,Total,1643251,855123,788128,385437,229505,155932,350283,211328,138955
District - Chandauli *  66,Rural,1469693,763127,706566,335049,201057,133992,304097,185007,119090
District - Chandauli *  66,Urban,173558,91996,81562,50388,28448,21940,46186,26321,19865
District - Varanasi  67,Total,3138671,1649187,1489484,817146,471622,345524,732532,428382,304150
District - Varanasi  67,Rural,1878100,976055,902045,478596,282792,195804,431250,258478,172772
District - Varanasi  67,Urban,1260571,673132,587439,338550,188830,149720,301282,169904,131378
District - Sant Ravidas Nagar *  68,Total,1353705,705997,647708,343106,219885,123221,309604,202141,107463
District - Sant Ravidas Nagar *  68,Rural,1180220,613756,566464,296461,193038,103423,267934,177843,90091
District - Sant Ravidas Nagar *  68,Urban,173485,92241,81244,46645,26847,19798,41670,24298,17372
District - Mirzapur  69,Total,2116042,1115249,1000793,472100,292195,179905,432292,271003,161289
District - Mirzapur  69,Rural,1829536,962560,866976,396004,248982,147022,363076,231365,131711
District - Mirzapur  69,Urban,286506,152689,133817,76096,43213,32883,69216,39638,29578
District - Sonbhadra  70,Total,1463519,770897,692622,276500,171090,105410,251458,157586,93872
District - Sonbhadra  70,Rural,1188089,620068,568021,183770,118873,64897,165192,108675,56517
District - Sonbhadra  70,Urban,275430,150829,124601,92730,52217,40513,86266,48911,37355
State - TAMIL NADU  33,Total,62405679,31400909,31004770,13588307,7179855,6408452,11505916,6121119,5384797
State - TAMIL NADU  33,Rural,34921681,17531494,17390187,7399959,3969660,3430299,6241800,3378937,2862863
State - TAMIL NADU  33,Urban,27483998,13869415,13614583,6188348,3210195,2978153,5264116,2742182,2521934
District - Thiruvallur  01,Total,2754756,1397407,1357349,627929,331887,296042,522541,278562,243979
District - Thiruvallur  01,Rural,1254674,629052,625622,280339,149403,130936,232227,125119,107108
District - Thiruvallur  01,Urban,1500082,768355,731727,347590,182484,165106,290314,153443,136871
District - Chennai  02,Total,4343645,2219539,2124106,952492,495814,456678,804235,421406,382829
District - Chennai  02,Rural,0,0,0,0,0,0,0,0,0
