Area Name,Total/Rural/Urban,Total Population,Male Population,Female Population,Total population attending educational institution,Male population attending educational institution,Female population attending educational institution,Total literates,Male literates,Female literates
District - South Goa  02,Total,589095,298746,290349,130559,68267,62292,116015,61002,55013
District - South Goa  02,Rural,260267,129002,131265,55639,28887,26752,49334,25785,23549
District - South Goa  02,Urban,328828,169744,159084,74920,39380,35540,66681,35217,31464
State - KARNATAKA  29,Total,52850562,26898918,25951644,11314196,6199480,5114716,10353434,5718548,4634886
State - KARNATAKA  29,Rural,34889033,17648958,17240075,6965018,3885153,3079865,6371956,3588464,2783492
State - KARNATAKA  29,Urban,17961529,9249960,8711569,4349178,2314327,2034851,3981478,2130084,1851394
District - Belgaum  01,Total,4214505,2150090,2064415,894870,502072,392798,829253,468907,360346
District - Belgaum  01,Rural,3201814,1630756,1571058,646850,368123,278727,599100,344131,254969
District - Belgaum  01,Urban,1012691,519334,493357,248020,133949,114071,230153,124776,105377
District - Bagalkot *  02,Total,1651892,834247,817645,343503,196036,147467,316312,182651,133661
District - Bagalkot *  02,Rural,1173372,591400,581972,225308,131594,93714,205537,121784,83753
District - Bagalkot *  02,Urban,478520,242847,235673,118195,64442,53753,110775,60867,49908
District - Bijapur  03,Total,1806918,926424,880494,391025,229427,161598,366180,217076,149104
District - Bijapur  03,Rural,1410829,723276,687553,285295,170808,114487,266698,161587,105111
District - Bijapur  03,Urban,396089,203148,192941,105730,58619,47111,99482,55489,43993
District - Gulbarga  04,Total,3130922,1592789,1538133,642010,370506,271504,573432,335107,238325
District - Gulbarga  04,Rural,2278301,1152343,1125958,402463,239001,163462,358526,216218,142308
District - Gulbarga  04,Urban,852621,440446,412175,239547,131505,108042,214906,118889,96017
District - Bidar  05,Total,1502373,771022,731351,383711,215519,168192,348531,197879,150652
District - Bidar  05,Rural,1157498,591653,565845,278771,158338,120433,254258,146169,108089
District - Bidar  05,Urban,344875,179369,165506,104940,57181,47759,94273,51710,42563
District - Raichur  06,Total,1669762,841840,827922,305581,181274,124307,277955,166999,110956
District - Raichur  06,Rural,1248925,626859,622066,200333,122988,77345,181414,113143,68271
District - Raichur  06,Urban,420837,214981,205856,105248,58286,46962,96541,53856,42685
District - Koppal *  07,Total,1196089,603312,592777,232117,134880,97237,211047,124207,86840
District - Koppal *  07,Rural,997797,502732,495065,184928,109093,75835,167222,100131,67091
District - Koppal *  07,Urban,198292,100580,97712,47189,25787,21402,43825,24076,19749
District - Gadag *  08,Total,971835,493533,478302,209247,117035,92212,196444,110766,85678
District - Gadag *  08,Rural,629652,319629,310023,127467,71856,55611,119342,67931,51411
District - Gadag *  08,Urban,342183,173904,168279,81780,45179,36601,77102,42835,34267
District - Dharwad  09,Total,1604253,823204,781049,361211,196774,164437,335788,184211,151577
District - Dharwad  09,Rural,722336,371275,351061,140361,77813,62548,128980,72112,56868
District - Dharwad  09,Urban,881917,451929,429988,220850,118961,101889,206808,112099,94709
District - Uttara Kannada  10,Total,1353644,686876,666768,289328,155115,134213,265819,143261,122558
District - Uttara Kannada  10,Rural,965731,489908,475823,195412,105910,89502,178558,97394,81164
District - Uttara Kannada  10,Urban,387913,196968,190945,93916,49205,44711,87261,45867,41394
District - Haveri *  11,Total,1439116,740469,698647,304082,166452,137630,283490,156334,127156
District - Haveri *  11,Rural,1140096,586935,553161,232496,128378,104118,216271,120360,95911
District - Haveri *  11,Urban,299020,153534,145486,71586,38074,33512,67219,35974,31245
District - Bellary  12,Total,2027140,1029714,997426,412025,236888,175137,375868,218440,157428
District - Bellary  12,Rural,1320290,668534,651756,245018,144554,100464,222140,132817,89323
District - Bellary  12,Urban,706850,361180,345670,167007,92334,74673,153728,85623,68105
District - Chitradurga  13,Total,1517896,776221,741675,332345,183650,148695,306213,170740,135473
District - Chitradurga  13,Rural,1243658,635442,608216,261427,145746,115681,240072,135215,104857
District - Chitradurga  13,Urban,274238,140779,133459,70918,37904,33014,66141,35525,30616
District - Davanagere*  14,Total,1790952,917705,873247,395202,215556,179646,363873,199960,163913
District - Davanagere*  14,Rural,1247954,637670,610284,257871,141813,116058,235524,130682,104842
District - Davanagere*  14,Urban,542998,280035,262963,137331,73743,63588,128349,69278,59071
District - Shimoga  15,Total,1642545,830559,811986,351350,183554,167796,325310,170580,154730
District - Shimoga  15,Rural,1071535,540238,531297,213633,112987,100646,196230,104359,91871
District - Shimoga  15,Urban,571010,290321,280689,137717,70567,67150,129080,66221,62859
District - Udupi *  16,Total,1112243,522231,590012,254734,131160,123574,239565,123545,116020
District - Udupi *  16,Rural,905890,421056,484834,205017,106004,99013,192777,99883,92894
District - Udupi *  16,Urban,206353,101175,105178,49717,25156,24561,46788,23662,23126
District - Chikmagalur  17,Total,1140905,574911,565994,230902,121413,109489,212758,112396,100362
